Date,Close
2016-09-30,804.06
2016-09-29,802.64
2016-09-28,810.06
2016-09-27,810.73
2016-09-26,802.65
2016-09-23,814.96
2016-09-22,815.95
2016-09-21,805.03
2016-09-20,799.78
2016-09-19,795.39
2016-09-16,797.97
2016-09-15,801.23
2016-09-14,790.46
2016-09-13,788.72
2016-09-12,798.82
2016-09-09,788.48
2016-09-08,802.84
2016-09-07,807.99
2016-09-06,808.02
2016-09-02,796.87
2016-09-01,791.4
2016-08-31,789.85
2016-08-30,791.92
2016-08-29,795.82
2016-08-26,793.22
2016-08-25,791.3
2016-08-24,793.6
2016-08-23,796.59
2016-08-22,796.95
2016-08-19,799.65
2016-08-18,802.75
2016-08-17,805.42
2016-08-16,801.19
2016-08-15,805.96
2016-08-12,807.05
2016-08-11,808.2
2016-08-10,808.49
2016-08-09,807.48
2016-08-08,805.23
2016-08-05,806.93
2016-08-04,797.25
2016-08-03,798.92
2016-08-02,800.12
2016-08-01,800.94
2016-07-29,791.34
2016-07-28,765.84
2016-07-27,761.97
2016-07-26,757.65
2016-07-25,757.52
2016-07-22,759.28
2016-07-21,754.41
2016-07-20,757.08
2016-07-19,753.41
2016-07-18,753.2
2016-07-15,735.63
2016-07-14,735.8
2016-07-13,729.48
2016-07-12,732.51
2016-07-11,727.2
2016-07-08,717.78
2016-07-07,707.26
2016-07-06,708.97
2016-07-05,704.89
2016-07-01,710.25
2016-06-30,703.53
2016-06-29,695.19
2016-06-28,691.26
2016-06-27,681.14
2016-06-24,685.2
2016-06-23,714.87
2016-06-22,710.47
2016-06-21,708.88
2016-06-20,706.13
2016-06-17,704.25
2016-06-16,724.25
2016-06-15,732.19
2016-06-14,733.25
2016-06-13,731.88
2016-06-10,733.19
2016-06-09,742.52
2016-06-08,742.93
2016-06-07,731.09
2016-06-06,730.06
2016-06-03,735.86
2016-06-02,744.27
2016-06-01,748.46
2016-05-31,748.85
2016-05-27,747.6
2016-05-26,736.93
2016-05-25,738.1
2016-05-24,733.03
2016-05-23,717.25
2016-05-20,721.71
2016-05-19,715.31
2016-05-18,721.78
2016-05-17,720.19
2016-05-16,730.3
2016-05-13,724.83
2016-05-12,728.07
2016-05-11,730.55
2016-05-10,739.38
2016-05-09,729.13
2016-05-06,725.18
2016-05-05,714.71
2016-05-04,711.37
2016-05-03,708.44
2016-05-02,714.41
2016-04-29,707.88
2016-04-28,705.06
2016-04-27,721.46
2016-04-26,725.37
2016-04-25,742.21
2016-04-22,737.77
2016-04-21,780
2016-04-20,774.92
2016-04-19,776.25
2016-04-18,787.68
2016-04-15,780
2016-04-14,775.39
2016-04-13,771.91
2016-04-12,764.32
2016-04-11,757.54
2016-04-08,759.47
2016-04-07,760.12
2016-04-06,768.07
2016-04-05,758.57
2016-04-04,765.12
2016-04-01,769.67
2016-03-31,762.9
2016-03-30,768.34
2016-03-29,765.89
2016-03-28,753.28
2016-03-24,754.84
2016-03-23,757.56
2016-03-22,760.05
2016-03-21,762.16
2016-03-18,755.41
2016-03-17,758.48
2016-03-16,757.36
2016-03-15,750.57
2016-03-14,750.24
2016-03-11,744.87
2016-03-10,732.17
2016-03-09,725.41
2016-03-08,713.53
2016-03-07,712.8
2016-03-04,730.22
2016-03-03,731.59
2016-03-02,739.48
2016-03-01,742.17
2016-02-29,717.22
2016-02-26,724.86
2016-02-25,729.12
2016-02-24,720.9
2016-02-23,717.29
2016-02-22,729.05
2016-02-19,722.11
2016-02-18,717.51
2016-02-17,731.97
2016-02-16,717.64
2016-02-12,706.89
2016-02-11,706.36
2016-02-10,706.85
2016-02-09,701.02
2016-02-08,704.16
2016-02-05,703.76
2016-02-04,730.03
2016-02-03,749.38
2016-02-02,780.91
2016-02-01,770.77
2016-01-29,761.35
2016-01-28,748.3
2016-01-27,717.58
2016-01-26,733.79
2016-01-25,733.62
2016-01-22,745.46
2016-01-21,726.67
2016-01-20,718.56
2016-01-19,719.08
2016-01-15,710.49
2016-01-14,731.39
2016-01-13,719.57
2016-01-12,745.34
2016-01-11,733.07
2016-01-08,730.91
2016-01-07,741
2016-01-06,759.33
2016-01-05,761.53
2016-01-04,759.44
